"FALSE"	0.5	0	0.0082	0.8834	0.0162
"FALSE"	0.5	100	0.0082	0.8834	0.0162
"FALSE"	0.5	200	0.0082	0.8834	0.0162
"FALSE"	0.5	300	0.0185	0.8527	0.0363
"FALSE"	0.5	400	0.0319	0.8008	0.0614
"FALSE"	0.5	500	0.0489	0.7174	0.0915
"FALSE"	0.5	600	0.0755	0.631	0.1348
"FALSE"	0.5	700	0.1016	0.5363	0.1709
"FALSE"	0.5	800	0.1282	0.4594	0.2004
"FALSE"	0.5	900	0.1543	0.3909	0.2213
"FALSE"	0.5	1000	0.1775	0.3282	0.2304
"FALSE"	1	0	0.0082	0.8834	0.0162
"FALSE"	1	100	0.0082	0.8834	0.0162
"FALSE"	1	200	0.0319	0.8008	0.0614
"FALSE"	1	300	0.0755	0.631	0.1348
"FALSE"	1	400	0.1282	0.4594	0.2004
"FALSE"	1	500	0.1775	0.3282	0.2304
"FALSE"	1	600	0.2281	0.2486	0.2379
"FALSE"	1	700	0.2659	0.1856	0.2186
"FALSE"	1	800	0.2985	0.1441	0.1944
"FALSE"	1	900	0.3181	0.1069	0.1601
"FALSE"	1	1000	0.3293	0.0827	0.1322
"FALSE"	2	0	0.0082	0.8834	0.0162
"FALSE"	2	100	0.0319	0.8008	0.0614
"FALSE"	2	200	0.1282	0.4594	0.2004
"FALSE"	2	300	0.2281	0.2486	0.2379
"FALSE"	2	400	0.2985	0.1441	0.1944
"FALSE"	2	500	0.3293	0.0827	0.1322
"FALSE"	2	600	0.352	0.0507	0.0886
"FALSE"	2	700	0.365	0.0317	0.0584
"FALSE"	2	800	0.3861	0.0223	0.0422
"FALSE"	2	900	0.4022	0.0164	0.0315
"FALSE"	2	1000	0.4305	0.0138	0.0268
"FALSE"	0	0	0.0082	0.8834	0.0162
"FALSE"	0	100	0.0492	0.4424	0.0886
"FALSE"	0	200	0.1134	0.175	0.1376
"FALSE"	0	300	0.1989	0.0823	0.1164
"FALSE"	0	400	0.2713	0.0444	0.0763
"FALSE"	0	500	0.3209	0.0232	0.0432
"FALSE"	0	600	0.38	0.0139	0.0268
"FALSE"	0	700	0.2949	0.0047	0.0092
"FALSE"	0	800	0.2075	0.0016	0.0032
"FALSE"	0	900	0.2	0.0009	0.0017
"FALSE"	0	1000	0.2759	0.0006	0.0012
"TRUE"	0.5	0	0.2866	0.7763	0.4186
"TRUE"	0.5	100	0.2866	0.7763	0.4186
"TRUE"	0.5	200	0.2866	0.7763	0.4186
"TRUE"	0.5	300	0.291	0.7709	0.4225
"TRUE"	0.5	400	0.2986	0.7557	0.428
"TRUE"	0.5	500	0.3694	0.7135	0.4868
"TRUE"	0.5	600	0.4303	0.6659	0.5228
"TRUE"	0.5	700	0.4524	0.6058	0.518
"TRUE"	0.5	800	0.4767	0.5526	0.5118
"TRUE"	0.5	900	0.4971	0.4948	0.4959
"TRUE"	0.5	1000	0.5106	0.4382	0.4716
"TRUE"	1	0	0.2866	0.7763	0.4186
"TRUE"	1	100	0.2866	0.7763	0.4186
"TRUE"	1	200	0.2986	0.7557	0.428
"TRUE"	1	300	0.4303	0.6659	0.5228
"TRUE"	1	400	0.4767	0.5526	0.5118
"TRUE"	1	500	0.5106	0.4382	0.4716
"TRUE"	1	600	0.5059	0.3423	0.4084
"TRUE"	1	700	0.5075	0.2562	0.3405
"TRUE"	1	800	0.5007	0.2006	0.2864
"TRUE"	1	900	0.4934	0.1608	0.2425
"TRUE"	1	1000	0.4902	0.1312	0.207
"TRUE"	2	0	0.2866	0.7763	0.4186
"TRUE"	2	100	0.2986	0.7557	0.428
"TRUE"	2	200	0.4767	0.5526	0.5118
"TRUE"	2	300	0.5059	0.3423	0.4084
"TRUE"	2	400	0.5007	0.2006	0.2864
"TRUE"	2	500	0.4902	0.1312	0.207
"TRUE"	2	600	0.4646	0.0882	0.1483
"TRUE"	2	700	0.4391	0.0622	0.109
"TRUE"	2	800	0.4258	0.0451	0.0816
"TRUE"	2	900	0.4252	0.0343	0.0634
"TRUE"	2	1000	0.4201	0.0269	0.0506
"TRUE"	0	0	0.2866	0.7763	0.4186
"TRUE"	0	100	0.4308	0.3814	0.4046
"TRUE"	0	200	0.4267	0.1214	0.189
"TRUE"	0	300	0.4145	0.051	0.0908
"TRUE"	0	400	0.4133	0.0272	0.051
"TRUE"	0	500	0.4582	0.0176	0.0339
"TRUE"	0	600	0.4804	0.0116	0.0227
"TRUE"	0	700	0.3519	0.0042	0.0082
"TRUE"	0	800	0.2247	0.0015	0.0029
"TRUE"	0	900	0.2407	0.001	0.0019
"TRUE"	0	1000	0.1429	0.0002	0.0004
